"price","nom","km","year","fuel","power","phone","city","cp","type","url","marque","site","ref","dateScrap"
14000,,143000,2010,,116,,"Liege","4000",,"http://fr.ww3.autoscout24.be/classified/297407348?asrc=st|as","BMW","Autoscout24","AS_297407348","2016-10-07T09:10:01.306Z"
3800,,118918,2009,,68,,"Charleroi","6000",,"http://fr.ww3.autoscout24.be/classified/297407345?asrc=st|as","Peugeot","Autoscout24","AS_297407345","2016-10-07T09:10:04.849Z"
12999,,10150,2014,,101,,"Hornu","7301",,"http://fr.ww3.autoscout24.be/classified/297407240?asrc=st|as","Opel","Autoscout24","AS_297407240","2016-10-07T09:10:10.550Z"
15200,,74000,2013,,105,,"arlon","6700",,"http://fr.ww3.autoscout24.be/classified/297407178?asrc=st|as","Volkswagen","Autoscout24","AS_297407178","2016-10-07T09:10:16.712Z"
23500,,95000,2012,,204,,"Ottignies-Louvain-la-Neuve","1340",,"http://fr.ww3.autoscout24.be/classified/297407133?asrc=st|as","Volkswagen","Autoscout24","AS_297407133","2016-10-07T09:10:22.575Z"
8950,,45000,2011,,120,,"tubize","1480",,"http://fr.ww3.autoscout24.be/classified/297407060?asrc=st|as","Fiat","Autoscout24","AS_297407060","2016-10-07T09:10:28.756Z"
15900,,44000,2014,,111,,"Lanklaar","3650",,"http://fr.ww3.autoscout24.be/classified/297407009?asrc=st|as","MINI","Autoscout24","AS_297407009","2016-10-07T09:10:34.770Z"
15000,,130000,2011,,150,,"maasmechelen","3630",,"http://fr.ww3.autoscout24.be/classified/297406889?asrc=st|as","Audi","Autoscout24","AS_297406889","2016-10-07T09:10:45.168Z"
15000,,130000,2011,,150,,"maasmechelen","3630",,"http://fr.ww3.autoscout24.be/classified/297406889?asrc=st|as","Audi","Autoscout24","AS_297406889","2016-10-07T09:10:46.907Z"
15200,,74000,2013,,105,,"arlon","6700",,"http://fr.ww3.autoscout24.be/classified/297406866?asrc=st|as","Volkswagen","Autoscout24","AS_297406866","2016-10-07T09:10:52.781Z"
21000,,41000,2013,,110,,"Achêne","5590",,"http://fr.ww3.autoscout24.be/classified/297406684?asrc=st|as","Volkswagen","Autoscout24","AS_297406684","2016-10-07T09:10:58.990Z"
19500,,78500,2010,,231,,"Bruxelles","1030",,"http://fr.ww3.autoscout24.be/classified/297406662?asrc=st|as","Mercedes-Benz","Autoscout24","AS_297406662","2016-10-07T09:11:04.899Z"
23500,,95000,2012,,204,,"Ottignies-Louvain-la-Neuve","1340",,"http://fr.ww3.autoscout24.be/classified/297406591?asrc=st|as","Volkswagen","Autoscout24","AS_297406591","2016-10-07T09:11:11.380Z"
